Tweets,Date
"@guardian4n93l Ceilehhhhhh    ....... ""Ulama Cucu Nabi Ex Narapidana Mulut Kayak Comberan, Itu bkn FITNAH. Yp Kadrun tetap sanjung, krn mmng Kadrun kaga ada yg pinter. Otak kebalik dr ZAMAN jd KAMPRET 😃😃🤪🤪",2023-04-12 06:11:55+00:00
wen kexing mode manusia biasa bikin mewek mulu ih kampret https://t.co/kO4jK8TI7g,2023-04-12 06:09:23+00:00
Kampret bgt. Siapa yang butuh siapa yg nunggu.,2023-04-12 06:05:38+00:00
@Cendana_20 @Jebenk63285910 Udh kebaca @aniesbaswedan https://t.co/gifi8Eaqrn,2023-04-12 06:03:58+00:00
@HerzCormac Delet sekarang Lu delet sekarang juga kampret. Sumpah gua gak main main kalo Lu gak delet detik ini juga gua lapor polisi serius Gua gak Boong . Gua laporin lu pake pasal 157 KUHP dan lu bakal diciduk lu,2023-04-12 06:02:59+00:00
panas bgt kampret,2023-04-12 06:02:49+00:00
@nayintut @moonareas kampret ava riki gw gmn,2023-04-12 06:02:46+00:00
wkwwkw s10 marketing kampret,2023-04-12 06:00:25+00:00
"@Stev3n_Peg3l @Jebenk63285910 Kayak bendera palestin tikarkny , wahhhh pelecehan ini,",2023-04-12 06:00:05+00:00
kampret main aja ampe 33 menit cokkk wkwk https://t.co/bjmOl8SobE,2023-04-12 05:59:10+00:00
Otw cari akunnya. Greget bgt kampret,2023-04-12 05:58:34+00:00
@Nana_dr92 Doakan moga rejekinya abang banyak.. biar bisa bikin banyak musik dan beli IMC dari si kampret😭😭😭😭,2023-04-12 05:58:12+00:00
eh kampret sok keras kau,2023-04-12 05:57:25+00:00
"gue salah aph.... sistem simari kaya bala, jawaban gw udah betul tp simarinya kaya kampret https://t.co/MkUdONECvc",2023-04-12 05:52:45+00:00
"@YunanMusa Hooh lea dibilang bibi anjir, kampret emang 😠",2023-04-12 05:52:22+00:00
"@radenrauf alesan putus karna gue rambut panjang 😂 sedang kan dia suka sama cewek rambut pendek 😂 lah udah tau kan rambut gue panjang kenapa dulu ngajak pacaran 🤣kampret memang,",2023-04-12 05:43:07+00:00
Udah gtu admin streaming team yg nyolong udh ganti fandom jdi deobi.. kampret emang,2023-04-12 05:41:05+00:00
"Nih kampret gede bgt ya, apa karena lagi makmur setelah dapat THR hasil ngemis dari para pengusaha? 😂 https://t.co/KP5NzGYbrJ",2023-04-12 05:36:31+00:00
STOP LO HUE LAGO KERJA KAMPRET https://t.co/FvTCGrKbcy,2023-04-12 05:33:55+00:00
@pearlmeup Kampret jd gini isinya,2023-04-12 05:31:48+00:00
@sthincymoon kampret luhk,2023-04-12 05:28:10+00:00
"@Midjan_La_2 Jangankan cowo, gue yang cowo aja pernah diintipin sesama cowo. Untung gue sadar liat ke atas langsung buru buru buka pintu eh orangnya dah lari kampret tai makin ga jelas human today pen gue tempeleng",2023-04-12 05:22:56+00:00
@duajutatriliun Yang begini gabisa gak di haluin kampret!,2023-04-12 05:22:48+00:00
