Tweets,Date
"BLIS itu suka MEMUTAR BALIKKAN FAKTA. Misalnya, suatu daerah yg faktanya masih tertindas, dijajah, masyarakatnya diperlakukan dengan sangat biadab.. Tapi anehnya, daerah tersebut dikatakannya baik baik saja. Itu baru IBLIS namanya ! https://t.co/tRDYDQJDHm",2023-04-11 16:09:00+00:00
"@tanyarlfes royal si boleh"" aja klo mampu, tapi mbok yo minimal tau diri dikit sama ortu loh itu dia yang udh besarin lo njir pake segala tenaga nya bisa bisanya lo durhaka sama ortu lo anak biadab, anak kaya gitu mending kik dari kk aja gsh dianggap lagi",2023-04-11 16:04:46+00:00
@LagiBeTeAjj @alveindamar @TukangQc @YaqutCQoumas EH KADRUN CELENG.....TURUNAN IBLIS BIADAB....,2023-04-11 16:03:38+00:00
"Cari dan adili ini Biadab sekali tidak punya hati nurani, sangat tidak berprikemanusia,terlepas dari kesalahan nya,ini negara hukum.",2023-04-11 16:02:58+00:00
@narkosun @DivHumas_Polri yaaa allah biadab bgt ini orang😭😭😭,2023-04-11 16:02:15+00:00
"MOONTON TAI...CAPEK GW
KLO NGASIH TIM YG BENER LAHH, MASA EPIC 7 KALI KEK BIADAB SEMUA 🤬 https://t.co/cB5S902f4y",2023-04-11 15:57:21+00:00
"pajak imo metode yg gk berperikemanusiaan, mendekati biadab.",2023-04-11 15:55:59+00:00
"@musniumar kejam mna saat pikada dki ,,,,?
fitnah lawan dg dalih agama,,,?
bukankah itu lbh biadab",2023-04-11 15:54:59+00:00
"@CNNIndonesia Setiap tahun di bulan Ramadhan kerjaan tentara zionis Israel selalu menyerang dan menembaki ummat Muslim yg sedang shalat di Masjidil Aqsha, biadab.",2023-04-11 15:54:23+00:00
@KompasTV Kalian sibuk ngurusin negara ISRAEL mau main bola tp manusia biadab kyk gini  kalian biarkan,2023-04-11 15:54:00+00:00
@Aamediketu finally spot fotonya dilocker room 😅,2023-04-11 15:48:29+00:00
"Biadab sekali Israel ini!! 

Dan masih ada artis yg endorse Israel, tolol!!",2023-04-11 15:44:49+00:00
"@Bams27735590 Iblis terkutuk yg nyiksa pakai rotan !! Biadab kau bangsat !!!
Tangkap secepatnya manusia laknat ini pak polisi !!!",2023-04-11 15:44:18+00:00
"@detikcom @detik_jateng Disana sini banyak pencabulan dipesantren dan disana sini banyak penyegelan gereja,mahluk apa kaum sebelah ini….buruk,biadab!!",2023-04-11 15:37:59+00:00
@AremafcOfficial Matek bongko kon tim penyakit asu goblok biadab jancok jaran sak dokare!,2023-04-11 15:37:04+00:00
"@ganjarpranowo @poldajateng_ @HumasBatang Engga bisa Ngomong Sy, kalo baca/lihat kasus begini.. 

Satu kata BIADAB!! 

Semangat Selalu Mas Ganjar..",2023-04-11 15:36:46+00:00
"😎
Disebut masih anak2, krn memang usia. Nun perilaku dan akibatnya melebihi orang usia dewasa. Barbar, biadab, sadis.
Saat terbentur hukum minta perlindungan. Lagi pacaran| mesra| eng ing eng tdk minta perlindungan.
○ andai korban cacat permanen bgmn.?",2023-04-11 15:35:43+00:00
"YA ALLAH JAHAT BANGET 😭 coba itu yang nyangkul ikutan dikubur juga, biadab",2023-04-11 15:33:58+00:00
@manutd_world Ini dukun dukun kaga ada niatan nyantet tu keluarga biadab ga sih? Kesel bet lama lama tai,2023-04-11 15:29:01+00:00
Sumpah biadab. Pas liat bapaknya secara jelas udah lansia banget langsung nangis emosi. Biadab tau gak lu. Semoga selalu sehat untuk pak Zulkarnain dan pelakunya segera tertangkap🙏,2023-04-11 15:25:55+00:00
Dewan keamanan PBB tak berfungsi bahkan berfungsinya mengamankan (baca ;mendiamkan) tindakan biadab tentara Israel. https://t.co/H69JRriMpj,2023-04-11 15:25:43+00:00
Ank biadab,2023-04-11 15:24:59+00:00
siapa yang ga marah kalo lo diem aja tapi sama bocil biadab ngarahin laser yang tembus sampe awan itu ke mata gue yang udah minus + silinder ini???,2023-04-11 15:24:16+00:00
memang haters tuh biadab,2023-04-11 15:22:47+00:00
"@fiffiffff Fah keknya cb kali ini gebrakannya sangat luar biadab, sudahkah mentalmu kuat?",2023-04-11 15:16:02+00:00
"Parah.  rusak, biadab tu orang..",2023-04-11 15:15:18+00:00
@islah_bahrawi hajar si kutu @HelmiFelis_  ini pendukung Teroris biadab,2023-04-11 15:10:40+00:00
Memang biadab china komunis ini 👇👇👇,2023-04-11 15:10:36+00:00
@BellaDi00561934 artis ini gagal pahami dan tidak mengerti masalah sebenarnya...jelas2 kelakuan zionis sangat biadab..,2023-04-11 15:08:58+00:00
"emg AG ni biadab si, tp ngapain jg banding2in diri ama dia kek.. apaan sih lu freak. tp yaudahlah ya mungkin emg udh jd sanksi sosial buat si bocil bajingan",2023-04-11 15:07:01+00:00
Gilaa lu ye bingcheng biadab! sumpah serapah keluar setiap liat kelakuan kejam lu itu. Untung gue nonton malam klo besok gak bisa sabar #TillTheEndOfTheMoon,2023-04-11 15:06:30+00:00
"LIN YA ALLAH KELAKUANMU BIADAB, PADALO DIDELOK MALAIKAT ISO RAK WEDI",2023-04-11 15:06:04+00:00
