Tweets,Date
wah bajingan le ngeracik h-1 kok iso L1. pie sek arep menyang kulon niki,2023-04-11 18:07:52+00:00
@idextratime Wkwkwkwkwk bajingan🤣,2023-04-11 18:06:13+00:00
"@na_stl Heh lonthe gw kerja su asu
Bajingan
Ngak usah banyak omong, Lo kek cewek anjing drtd mancing mancing ae
Asu bajingan,",2023-04-11 18:04:36+00:00
"Tiktod bajingan, isinya dilan milea semua 😭😭😭",2023-04-11 18:02:56+00:00
@panggilaku_nong Emang bajingan lu,2023-04-11 18:02:02+00:00
"@giginpraginanto Pembengkakan terjadi akibat keterlambatan jadwal. Seharusnya pihak pelaksana yg disanksi setiap hari keterlambatan. Kalikan sj jumlah keterlambatan dgn nilai kontrak..
Kenapa +62 yg nanggung pembengkakan nya ?
N
Ini sih B to B = BAJINGAN to BAJINGAN ‼",2023-04-11 18:00:51+00:00
"BAJINGAN gue LEMES BGT😭😭😭
 https://t.co/fGfNw8t5IM",2023-04-11 17:59:00+00:00
"Kocak anjg, gw cmn nanya kabar dan mastiin tmn dkt gw baik2 aja krn dia suka berurusan dgn polisi dan ga berlebihan, malah dia yg berlebihan ajg. mana gak ganteng cok aku jg ga tertarik sm cowokmu asu bajingan https://t.co/G5ehRuUccI",2023-04-11 17:53:23+00:00
"@na_stl Bajingan ngak usah banyak omong su
Punya dua tangan ngapa ngak buat baku hantam su
Bajingan anak lonthe",2023-04-11 17:53:03+00:00
"@na_stl Gimana nih??? Udah ngatain gw berani di sosmed 
Dah ngak usah banyak omong, nga usah banyak pembahasan
Bajingan asu lonthe",2023-04-11 17:52:29+00:00
"Problematika korupsi ini memang sudah dari akarnya para pejabat korup itu bajingan ye, mulai dari blanko E-KTP, penyelenggaraan sistem E-KTP, sampai pendataan NIK E-KTP DIKORUPSI! 😡

Astaghfirullah 😭",2023-04-11 17:52:22+00:00
"@cocoo009 @G_paseksuardika Bajingan kok disambut, untung2an gak digebukin sama rakyat",2023-04-11 17:47:53+00:00
"@na_stl Ini yg gw tunggu su, asu
Lo udah nantangin gw kan, bajingan
Asu",2023-04-11 17:47:25+00:00
"Bajingan lo twitter anjing! Bisa""nya fitur 'moment' lo hapus, sdngkn gw mau buat itu 😭😭",2023-04-11 17:47:20+00:00
Bajingan koe asu,2023-04-11 17:47:03+00:00
"@na_stl Hehe BAJINGAN asu
Dadekke pye??? Lonthe Ki 
Gw drtd ngajak Lo open fight su
Bajingan ki, pye jadikan dimana asu
Bajingan kontol lonthe haram jadah",2023-04-11 17:46:48+00:00
"@anasurbaningrum Koruptor itu bajingannya rakyat, bajingan kok ngomong soal perjuangan &amp; keadilan.",2023-04-11 17:46:19+00:00
@tinkerbeyi @narasmagic Bajingan mana sih Bel yang nyakitin lu sampe segininyah,2023-04-11 17:45:27+00:00
"@na_stl Yahhhhj kek bela agama yaaaaa 🤭😁🤭🤣🤭🤣
Dongo si anak haram jadah 😁🤣🤣🤣🤭🤣🤣🤣🤣
Ngak dikasih makan keluarga Lo ya jadi bodoh begini belain idolanya yaaaaa 🤣🤭🤣🤣🤣🤭
Ngehalu Mulu ya 🤭🤣🤭🤣🤭
Sosmed doang Lo Berani yaaaa 🤣🤭🤣🤭🤣🤭🤣
Yaaa tau asu bajingan goblok",2023-04-11 17:43:24+00:00
Bajingan,2023-04-11 17:43:12+00:00
"@DalaiLama 
bajingan brengsek orang sepertimu tidak seharusnya berada di tempat mereka bajingan yang tidak bercanda pedofil sialan atau permintaan maafmu homo!!! Saya punya keponakan dan saya tidak akan pernah membiarkan orang mesum",2023-04-11 17:41:57+00:00
buat apasih ngaku single padahal punya anak bini heran bgt sm cowok bajingan nya udh mendarah daging keknya,2023-04-11 17:39:53+00:00
@NtupNdase @DreW_JaKoB_WolF Bajingan asu,2023-04-11 17:39:51+00:00
"anjing melon kontol memek bajingan sialan, au terakhir yang gua baca ilang ngentot https://t.co/wXy2w8ISPu",2023-04-11 17:39:44+00:00
buat apa minta izin kalo gadibolehin ttp pergi bajingan,2023-04-11 17:38:27+00:00
"@na_stl Yaaa wong edan koe su asu
Bajingan ayo gelut ae su
Drpd banyak omong, Ket mau stak tunggu malahan bajingan 🤭🤭🤣🤭🤣🤭🤣🤭",2023-04-11 17:37:45+00:00
BAJINGAN JUNGKOOK GILA LO,2023-04-11 17:37:37+00:00
@tanyarlfes Bajingan seharusnya gua ga ketemu elu. Biar badan gua tetap berisi kayak dulu anjrit. Sekarang gua susah ini naikin berat badan,2023-04-11 17:37:33+00:00
@xtiramissyou Walau bkin kzel blio tto bapaku ya bajingan,2023-04-11 17:37:10+00:00
