Tweets,Date
wkwkakakakak munchen goblok,2023-04-11 20:29:29+00:00
"Wkwkwk emg goblok defense nya Munchen, gol keduanya malah blunder bek tolol",2023-04-11 20:29:27+00:00
@idextratime Bek goblok nya gak ketulung,2023-04-11 20:29:20+00:00
Emg back bayern goblok wkwk,2023-04-11 20:28:32+00:00
"berarti ayah ku benar aku BODOH GAK MENGHARGAI ORANG
""gringingenen opo, opo ne gringingen lak arek pinter yo jukuk ancen kon ga teges, goblok kok""
MASYAALLAH",2023-04-11 20:28:28+00:00
@AndiSinulingga Lu dah ngeliat kelakuan anis yaman ga dan lu goblok orang turunan yaman lu bela belain mau mimpin di indoesia,2023-04-11 20:25:49+00:00
seleksi alam. yang goblok yang pergi,2023-04-11 20:25:31+00:00
@HidayatNatari Monyet goblok pasti buta sejarah😂😂 https://t.co/ahSazJ1W95,2023-04-11 20:24:49+00:00
"@bachrum_achmadi si goblok ini klw ngomong gk ada otak, kok bisa2nya membandingkan dgn Angelina sondakh, eh goblok posisi mas anas wktu itu Ketum PD betapa hina seorang Ketum jka smua yang di tuduhkan pdanya sbgi tanggung jawab pribadi dan Partai atas kebenaran versi beliau,",2023-04-11 20:24:13+00:00
"@FiinaDu Gini dah kalo org yg bertitle kalo melakukan kesalahan pake bahas etika lah di bilang enggk mencerminkan yg baik lah, mereka juga manusia, giliran org biasa yg salah di tolerankan goblok!
Lain kali kalo posting cari info yg bener!",2023-04-11 20:24:07+00:00
"gapapa nder, gua juga permah kaya org goblok ngecrush kn anak rp setahun lebih xixixi. semoga ceat dilapangkan ya hatinyaaa &lt;3",2023-04-11 20:22:45+00:00
cowok tu emang di setting goblok apa gimana sih? boong gitu aja ketauan .,2023-04-11 20:21:25+00:00
"Tau gitu pas kemaren mantan gue chat balik minta maaf, gue goblok goblok in aja ya. Jangan kasih ruang orang-orang pengecut tukang nyakitin ini enak hidupnya.",2023-04-11 20:19:59+00:00
Anjir gw goblok banget baru tau beginian wkwk maap,2023-04-11 20:19:07+00:00
Muncen makin lama makin goblok dah asu liatnya. Dari tahun ke tahun mainnya makin gak tertata,2023-04-11 20:18:37+00:00
@Leutenant1 @Mdy_Asmara1701 Lo 8 th di kibulin ttp aja GOBLOK...🤣🤣🤣,2023-04-11 20:17:50+00:00
Dih goblok minuman coklat 1 liter gue dr freezer dipindahin ke bawah sialan jdnya basi kga ke minum pdhl itu boleh minta brengsek asuuu,2023-04-11 20:17:37+00:00
Bajingan goblok bgt 😭,2023-04-11 20:17:05+00:00
@musafir_hidup @SeputarTetangga Goblok,2023-04-11 20:16:27+00:00
"@rellabele @tanyakanrl iya nih yg buat headline nya juga goblok, seharusnya orang-orang tau dan bisa ngerti; bela agnes sebagai korban grooming bukan berarti membenarkan kelakuan dia yg udah nyiksa anak orang, beda konteks ☹️",2023-04-11 20:15:08+00:00
"orang-orang pada goblok, ""jatuh cinta"" maunya ""cinta""nya doang, gak mau ""jatuh""nya.",2023-04-11 20:14:40+00:00
"perasaan gw ga tolol"" amat dah
tp diboongin mulu:) 

bukan tolol mungkin goblok🙂",2023-04-11 20:13:59+00:00
goblok,2023-04-11 20:13:49+00:00
