Tweet,Username,Datetime
"kupikir pikir seperti kalian yg nolak tim Israel di U20

Israelnya tetap bisa main di U20

justru tim Indonesia yg gagal main di U20

wes kok pikir????",TheArieAir,2023-04-15 17:55:01+00:00
"@AirinDatangLagi @Dennysiregar7 @ganjarpranowo Mngingat pnangkapan warga uzbek oleh densus 88, scara langsung dan tdk langsung PENOLAKAN GANJAR THDP TIMNAS ISRAEL MNGHINDARI INDONESIA DR KMUNGKINAN DITUNGGANGI OLEH TERORIS DLM EVENT PILDUN U20.
NO DEBAT.",Ade1103,2023-04-15 17:48:04+00:00
"@ch_chotimah2 @aniesbaswedan @ganjarpranowo kayaknya #antekAsing pantas aja klo BUNGKAM TOLAK U20 ISRAEL. Dibelakang, Inggris, euro, Singapura, aostrali ada amrik dibelakang amrik cs ada Yahudi https://t.co/lHY4Z515uf",AsliLucuBanget,2023-04-15 14:02:48+00:00
"@ch_chotimah2 @ganjarpranowo kayaknya #antekYahudi  nyambung banget sikap BUNGKAM TOLAK U20 ISRAEL
Padahal make selendang Pelestina https://t.co/fQHZn3nqlB",AsliLucuBanget,2023-04-15 13:50:24+00:00
@detikcom Hahahaha.. Emang Gubernur ini cuma hanya ingin mematikan Sepak Bola Indonesia kok.. Makanya hanya di Piala Dunia U20 si @wayankoster2014 melarang atlet/ team Nasional Israel. Sedangkan di event olahraga yg lain?? Tetap mengijinkan atlet Negara Israel datang..,IwanDar72454463,2023-04-15 12:51:18+00:00
"@txtdrpemerintah Giliran olahraga soccer U20 nolak klu atlet Israel maen 😒
Bukan main",jinpinksi,2023-04-15 11:16:41+00:00
"@AlphaARachman Lalu apakah kita sudah bertanya kepada pemain sepak bola U20 Israel?
Apa dan bagaimana pendapatnya?
We are like judges bringing death which is so scary but becomes a downturn..
Aaahhkk,,jalan kaki dari Jogja ke Jakarta deh,,",tengkorak_maut,2023-04-15 09:59:45+00:00
"@detikcom @detikbali_ Fix penolakan timnas Israel di pildun u20 atas dasar politik,menjalankan amanah/konstitusi proklamator itu cuma alibi,apalagi tgl 1 Juni GBK mau dipake buat party ama golongan merah",Yakubessa1,2023-04-15 09:50:18+00:00
"@rakkkkka @PolJokesID masi percaya gagal u20 cuma gara2 gubernur nolak israel ? wkwkw, Qatar jelas2 nolak LGBT juga fifa yg nurut si.. Emang indonesianya aja blom siap dan gapunya power apa2 buat nawar, nah kebetulan tu kader partai blunder wkwkwk",RezyFR,2023-04-15 08:42:33+00:00
"Koster tidak konsisten...
tolak israel di PD U20..
tapi ora opo2 Israel di world beach games...preeet",aisya93518677,2023-04-15 08:35:50+00:00
Melihat elektabilitas partai yg turun setelah penolakan kehadiran Israel dalam piala dunia U20 buru buru meralat kebijakan nyat sekali kepentingan parpol dan golongan diatas kepentingan negara https://t.co/CNLUFkdLRi,bukan_pandawa,2023-04-15 07:40:05+00:00
"@nusantara_one Memalukan, kantor berita Nasional Indonesia Antara, kurang cermat dlm pemberitaan, memprovokasi rakyat RI utk memusuhi bangsa lain.

Maka tak heran bila RI dibatalin jd tuan rumah PD U20 FIFA, krn menolak timnas U20 Israel yg lolos kualifikasi.",fransiskusjurin,2023-04-15 07:05:20+00:00
"@CoachJustinL Bukannya kemarin ketum partai warna merah bilang ya kalau GBK mau dipakai acara meraka, jadi mungkin beliau meminta kadernya yg kebetulan jadi Gubernur untuk menolak adanya Piala Dunia U20 dengan isu Israel",ppffrttrt,2023-04-15 06:48:32+00:00
"https://t.co/YNnTA6WQ1K

☆ Maha benar banteng dengan segala congornya.. 

● PIALA DUNIA U20 : TOLAK TIMNAS ISRAEL krn Melawan Konstitusi.
● WORLD BEACH BALI : Gapapa krn sesuai konstirusi. 🤣

Sebenernya si banteng itu alasan konstitusi apa alasannya krn JOKOWI siiih ??  🤣🤣",Asbit_0880,2023-04-15 06:46:30+00:00
"Ayo Ganjar mana suaranya soal Tim Israel di World Beach Games - Bali..
Sebagai penjaga Konstitusi, harus berani menyuarakan pendapat, tanpa menunggu perintah Si Mbok, apalagi Presiden.. jgn hanya berani jegal PD U20.. https://t.co/r5mlHVt4i4",bwinarso99,2023-04-15 06:16:49+00:00
"@CerishIva @FaktaSepakbola 🤣🤣🤣🤣

menunggu kabar ormas2 dan partai munafik kemarin yg koar2 nolak israel u20",0pp4_lee,2023-04-15 05:58:35+00:00
"Masih percaya pembatalan Pildun karena menolak Israel??
Kalo cuma tidak ada pengibaran bndera dan lagu Israel, mestinya Pildun U20 juga bisa.
Pembatalan karena @erickthohir gagal melakukan Transformasi @PSSI sejak kejadian Kanjuruhan..

https://t.co/NvETiJGhuY",ronin4711,2023-04-15 04:15:07+00:00
"@detikcom wayan koster mencla-mencle....kenapa gak dari dulu menerima Israel tanding Piala Duia U20 di Indonesia. 
Huuu...ra mutu babar blaassss....!",yana_udiyatna,2023-04-15 03:36:24+00:00
"lah kemana ini yang kmtn koar koar tolak timnas israel U20? ayo dong ramaikan tolak ini😅
#AWBG",elzadara12,2023-04-15 03:18:07+00:00
"kenapa hal ini tidak dilakukan saat pildun u20 ,semua bs dikomunikasikan &amp;di kondisikan,israel paham itu,jgn ego partai&amp; kemaun elit pragmatis yg jd rujukan,ini nama indonesia yg dipertaruhkan,dan krn itulah rakyat marah.
@PDI_Perjuangan @ganjarpranowo 
https://t.co/TOpoSIyDMb",AgustinusTopik,2023-04-15 02:26:39+00:00
"@medioclubID Atensi Sepakbola lebih besar dibanding  olahraga yg lain, makanya coba diganggu event piala dunia u20 ini dgn Tema Penolakan Peserta Israel (mumpung ada bumbu).

Isu Israel ibarat jualan agama, siapa yg kencang dia bisa menarik simpatisan mayoritas.",RedSaesar,2023-04-15 02:26:36+00:00
"Dua sisi Wayan Koster. Menolak Israel di Pildun U20 

Dukung World Beach Games yang ada Israel.

Politik? https://t.co/jUhM1OB3cs",DedikPriyanto,2023-04-15 02:25:30+00:00
"@ganjarpranowo @dpubmckjateng Di luar konteks perbaikan jalan. Sy mau tanya, alasan apa pak @ganjarpranowo menolak keikutsertaan Israel dlm PD U20 saat Indonesia sudah ditetapkan menjadi tuan rumah?",lorensyanushb,2023-04-15 02:12:23+00:00
"@dina_sulaeman Bu, Israel ikut serta di kejuaraan World Beach Games Bali lho bu, enggak ditolak atau dikomentari seperti halnya pildun u20 tuh🤭",ivanilmi,2023-04-15 02:04:36+00:00
"@__AnakKolong ditunggu demo masak demo product baru, demo obat kuat n dildonya  demo crazynya pihak2 yang kemaren ngancam kalo U20 israel datang ke Indonesia, atau udah dapat THR jadi sibuk belanja",thavy_tobiasP,2023-04-15 01:56:08+00:00
